"reg";"dep";"depcom";"dciris";"an";"typequ";"nb_equip"
"1";"84";"01";"01001";"01001";"2016";"A504";1
"2";"84";"01";"01004";"01004_0101";"2016";"A504";7
"3";"84";"01";"01004";"01004_0102";"2016";"A504";15
"4";"84";"01";"01004";"01004_0201";"2016";"A504";11
"5";"84";"01";"01004";"01004_0202";"2016";"A504";3
"6";"84";"01";"01005";"01005";"2016";"A504";4
"7";"84";"01";"01007";"01007";"2016";"A504";3
"8";"84";"01";"01008";"01008";"2016";"A504";1
"9";"84";"01";"01012";"01012";"2016";"A504";1
"10";"84";"01";"01013";"01013";"2016";"A504";2
"11";"84";"01";"01014";"01014";"2016";"A504";7
"12";"84";"01";"01021";"01021";"2016";"A504";3
"13";"84";"01";"01022";"01022";"2016";"A504";5
"14";"84";"01";"01023";"01023";"2016";"A504";1
"15";"84";"01";"01024";"01024";"2016";"A504";3
"16";"84";"01";"01025";"01025";"2016";"A504";1
"17";"84";"01";"01026";"01026";"2016";"A504";3
"18";"84";"01";"01027";"01027";"2016";"A504";7
"19";"84";"01";"01028";"01028";"2016";"A504";2
"20";"84";"01";"01030";"01030";"2016";"A504";2
"21";"84";"01";"01031";"01031";"2016";"A504";4
"22";"84";"01";"01032";"01032";"2016";"A504";6
"23";"84";"01";"01033";"01033_0101";"2016";"A504";5
"24";"84";"01";"01033";"01033_0102";"2016";"A504";28
"25";"84";"01";"01033";"01033_0201";"2016";"A504";4
"26";"84";"01";"01033";"01033_0202";"2016";"A504";9
"27";"84";"01";"01033";"01033_0301";"2016";"A504";1
"28";"84";"01";"01034";"01034_0000";"2016";"A504";1
"29";"84";"01";"01034";"01034_0101";"2016";"A504";9
"30";"84";"01";"01034";"01034_0102";"2016";"A504";14
"31";"84";"01";"01034";"01034_0103";"2016";"A504";1
"32";"84";"01";"01038";"01038";"2016";"A504";1
"33";"84";"01";"01039";"01039";"2016";"A504";1
"34";"84";"01";"01040";"01040";"2016";"A504";1
"35";"84";"01";"01041";"01041";"2016";"A504";1
"36";"84";"01";"01043";"01043";"2016";"A504";16
"37";"84";"01";"01044";"01044";"2016";"A504";1
"38";"84";"01";"01045";"01045";"2016";"A504";1
"39";"84";"01";"01046";"01046";"2016";"A504";1
"40";"84";"01";"01047";"01047";"2016";"A504";2
"41";"84";"01";"01049";"01049";"2016";"A504";5
"42";"84";"01";"01050";"01050";"2016";"A504";2
"43";"84";"01";"01052";"01052";"2016";"A504";3
"44";"84";"01";"01053";"01053_0101";"2016";"A504";60
"45";"84";"01";"01053";"01053_0102";"2016";"A504";11
"46";"84";"01";"01053";"01053_0103";"2016";"A504";36
"47";"84";"01";"01053";"01053_0201";"2016";"A504";2
"48";"84";"01";"01053";"01053_0202";"2016";"A504";2
"49";"84";"01";"01053";"01053_0203";"2016";"A504";4
"50";"84";"01";"01053";"01053_0301";"2016";"A504";19
"51";"84";"01";"01053";"01053_0302";"2016";"A504";14
"52";"84";"01";"01053";"01053_0401";"2016";"A504";4
"53";"84";"01";"01053";"01053_0402";"2016";"A504";3
"54";"84";"01";"01053";"01053_0501";"2016";"A504";6
"55";"84";"01";"01053";"01053_0502";"2016";"A504";5
"56";"84";"01";"01053";"01053_0503";"2016";"A504";3
"57";"84";"01";"01053";"01053_0601";"2016";"A504";4
"58";"84";"01";"01053";"01053_0603";"2016";"A504";1
"59";"84";"01";"01053";"01053_0604";"2016";"A504";4
"60";"84";"01";"01053";"01053_0701";"2016";"A504";4
"61";"84";"01";"01054";"01054";"2016";"A504";2
"62";"84";"01";"01058";"01058";"2016";"A504";2
"63";"84";"01";"01060";"01060";"2016";"A504";1
"64";"84";"01";"01061";"01061";"2016";"A504";3
"65";"84";"01";"01062";"01062";"2016";"A504";2
"66";"84";"01";"01063";"01063";"2016";"A504";1
"67";"84";"01";"01064";"01064";"2016";"A504";3
"68";"84";"01";"01065";"01065";"2016";"A504";4
"69";"84";"01";"01067";"01067";"2016";"A504";2
"70";"84";"01";"01068";"01068";"2016";"A504";5
"71";"84";"01";"01069";"01069";"2016";"A504";1
"72";"84";"01";"01071";"01071";"2016";"A504";5
"73";"84";"01";"01072";"01072";"2016";"A504";4
"74";"84";"01";"01073";"01073";"2016";"A504";1
"75";"84";"01";"01074";"01074";"2016";"A504";6
"76";"84";"01";"01075";"01075";"2016";"A504";1
"77";"84";"01";"01076";"01076";"2016";"A504";1
"78";"84";"01";"01077";"01077";"2016";"A504";1
"79";"84";"01";"01078";"01078";"2016";"A504";1
"80";"84";"01";"01081";"01081";"2016";"A504";1
"81";"84";"01";"01084";"01084";"2016";"A504";2
"82";"84";"01";"01087";"01087";"2016";"A504";1
"83";"84";"01";"01088";"01088";"2016";"A504";2
"84";"84";"01";"01089";"01089";"2016";"A504";7
"85";"84";"01";"01090";"01090";"2016";"A504";1
"86";"84";"01";"01091";"01091";"2016";"A504";8
"87";"84";"01";"01092";"01092";"2016";"A504";4
"88";"84";"01";"01093";"01093";"2016";"A504";23
"89";"84";"01";"01094";"01094";"2016";"A504";1
"90";"84";"01";"01095";"01095";"2016";"A504";1
"91";"84";"01";"01096";"01096";"2016";"A504";2
"92";"84";"01";"01098";"01098";"2016";"A504";5
"93";"84";"01";"01099";"01099";"2016";"A504";4
"94";"84";"01";"01102";"01102";"2016";"A504";2
"95";"84";"01";"01103";"01103";"2016";"A504";1
"96";"84";"01";"01104";"01104";"2016";"A504";2
"97";"84";"01";"01105";"01105";"2016";"A504";2
"98";"84";"01";"01108";"01108";"2016";"A504";4
"99";"84";"01";"01109";"01109";"2016";"A504";7
"100";"84";"01";"01113";"01113";"2016";"A504";2
"101";"84";"01";"01114";"01114";"2016";"A504";1
"102";"84";"01";"01115";"01115";"2016";"A504";2
"103";"84";"01";"01116";"01116";"2016";"A504";1
"104";"84";"01";"01118";"01118";"2016";"A504";2
"105";"84";"01";"01122";"01122";"2016";"A504";1
"106";"84";"01";"01123";"01123";"2016";"A504";3
"107";"84";"01";"01124";"01124";"2016";"A504";1
"108";"84";"01";"01125";"01125";"2016";"A504";1
"109";"84";"01";"01127";"01127";"2016";"A504";1
"110";"84";"01";"01130";"01130";"2016";"A504";2
"111";"84";"01";"01133";"01133";"2016";"A504";2
"112";"84";"01";"01134";"01134";"2016";"A504";4
"113";"84";"01";"01135";"01135";"2016";"A504";6
"114";"84";"01";"01138";"01138";"2016";"A504";6
"115";"84";"01";"01140";"01140";"2016";"A504";2
"116";"84";"01";"01142";"01142";"2016";"A504";7
"117";"84";"01";"01143";"01143_0000";"2016";"A504";2
"118";"84";"01";"01143";"01143_0101";"2016";"A504";24
"119";"84";"01";"01143";"01143_0102";"2016";"A504";1
"120";"84";"01";"01143";"01143_0103";"2016";"A504";8
"121";"84";"01";"01144";"01144";"2016";"A504";2
"122";"84";"01";"01145";"01145";"2016";"A504";1
"123";"84";"01";"01147";"01147";"2016";"A504";1
"124";"84";"01";"01148";"01148";"2016";"A504";3
"125";"84";"01";"01150";"01150";"2016";"A504";1
"126";"84";"01";"01151";"01151";"2016";"A504";2
"127";"84";"01";"01152";"01152";"2016";"A504";1
"128";"84";"01";"01153";"01153";"2016";"A504";2
"129";"84";"01";"01154";"01154";"2016";"A504";1
"130";"84";"01";"01155";"01155";"2016";"A504";1
"131";"84";"01";"01156";"01156";"2016";"A504";1
"132";"84";"01";"01157";"01157";"2016";"A504";7
"133";"84";"01";"01159";"01159";"2016";"A504";4
"134";"84";"01";"01160";"01160_0000";"2016";"A504";5
"135";"84";"01";"01160";"01160_0101";"2016";"A504";4
"136";"84";"01";"01160";"01160_0102";"2016";"A504";20
"137";"84";"01";"01160";"01160_0103";"2016";"A504";13
"138";"84";"01";"01163";"01163";"2016";"A504";2
"139";"84";"01";"01165";"01165";"2016";"A504";2
"140";"84";"01";"01166";"01166";"2016";"A504";1
"141";"84";"01";"01167";"01167";"2016";"A504";1
"142";"84";"01";"01169";"01169";"2016";"A504";1
"143";"84";"01";"01170";"01170";"2016";"A504";1
"144";"84";"01";"01173";"01173_0000";"2016";"A504";2
"145";"84";"01";"01173";"01173_0101";"2016";"A504";11
"146";"84";"01";"01173";"01173_0102";"2016";"A504";2
"147";"84";"01";"01173";"01173_0103";"2016";"A504";4
"148";"84";"01";"01175";"01175";"2016";"A504";1
"149";"84";"01";"01179";"01179";"2016";"A504";4
"150";"84";"01";"01180";"01180";"2016";"A504";2
"151";"84";"01";"01183";"01183";"2016";"A504";2
"152";"84";"01";"01184";"01184";"2016";"A504";2
"153";"84";"01";"01185";"01185";"2016";"A504";10
"154";"84";"01";"01187";"01187";"2016";"A504";7
"155";"84";"01";"01188";"01188";"2016";"A504";1
"156";"84";"01";"01189";"01189";"2016";"A504";1
"157";"84";"01";"01191";"01191";"2016";"A504";1
"158";"84";"01";"01192";"01192";"2016";"A504";3
"159";"84";"01";"01193";"01193";"2016";"A504";1
"160";"84";"01";"01194";"01194";"2016";"A504";11
"161";"84";"01";"01195";"01195";"2016";"A504";6
"162";"84";"01";"01196";"01196";"2016";"A504";2
"163";"84";"01";"01198";"01198";"2016";"A504";1
"164";"84";"01";"01199";"01199";"2016";"A504";3
"165";"84";"01";"01200";"01200";"2016";"A504";1
"166";"84";"01";"01202";"01202_0000";"2016";"A504";1
"167";"84";"01";"01202";"01202_0101";"2016";"A504";12
"168";"84";"01";"01202";"01202_0102";"2016";"A504";6
"169";"84";"01";"01204";"01204";"2016";"A504";2
"170";"84";"01";"01205";"01205";"2016";"A504";1
"171";"84";"01";"01207";"01207";"2016";"A504";1
"172";"84";"01";"01209";"01209";"2016";"A504";1
"173";"84";"01";"01210";"01210";"2016";"A504";4
"174";"84";"01";"01211";"01211";"2016";"A504";3
"175";"84";"01";"01212";"01212";"2016";"A504";2
"176";"84";"01";"01213";"01213";"2016";"A504";3
"177";"84";"01";"01216";"01216";"2016";"A504";3
"178";"84";"01";"01219";"01219";"2016";"A504";1
"179";"84";"01";"01224";"01224";"2016";"A504";11
"180";"84";"01";"01225";"01225";"2016";"A504";1
"181";"84";"01";"01227";"01227";"2016";"A504";1
"182";"84";"01";"01228";"01228";"2016";"A504";1
"183";"84";"01";"01229";"01229";"2016";"A504";5
"184";"84";"01";"01230";"01230";"2016";"A504";1
"185";"84";"01";"01231";"01231";"2016";"A504";3
"186";"84";"01";"01232";"01232";"2016";"A504";4
"187";"84";"01";"01235";"01235";"2016";"A504";1
"188";"84";"01";"01237";"01237";"2016";"A504";2
"189";"84";"01";"01238";"01238";"2016";"A504";8
"190";"84";"01";"01239";"01239";"2016";"A504";2
"191";"84";"01";"01241";"01241";"2016";"A504";2
"192";"84";"01";"01243";"01243";"2016";"A504";1
"193";"84";"01";"01244";"01244_0000";"2016";"A504";2
"194";"84";"01";"01244";"01244_0101";"2016";"A504";12
"195";"84";"01";"01244";"01244_0102";"2016";"A504";11
"196";"84";"01";"01244";"01244_0103";"2016";"A504";1
"197";"84";"01";"01245";"01245";"2016";"A504";1
"198";"84";"01";"01246";"01246";"2016";"A504";7
"199";"84";"01";"01247";"01247";"2016";"A504";4
"200";"84";"01";"01248";"01248";"2016";"A504";3
"201";"84";"01";"01249";"01249_0000";"2016";"A504";8
"202";"84";"01";"01249";"01249_0101";"2016";"A504";4
"203";"84";"01";"01249";"01249_0102";"2016";"A504";2
"204";"84";"01";"01249";"01249_0103";"2016";"A504";7
"205";"84";"01";"01250";"01250";"2016";"A504";2
"206";"84";"01";"01254";"01254";"2016";"A504";9
"207";"84";"01";"01255";"01255";"2016";"A504";1
"208";"84";"01";"01257";"01257";"2016";"A504";1
"209";"84";"01";"01261";"01261";"2016";"A504";2
"210";"84";"01";"01262";"01262_0101";"2016";"A504";7
"211";"84";"01";"01262";"01262_0102";"2016";"A504";7
"212";"84";"01";"01263";"01263";"2016";"A504";9
