"team","matches","type","result","share","is_smaller"
"Bayer 04 Leverkusen",1524,"won",669,0.438976377952756,0
"Bayer 04 Leverkusen",1524,"lost",447,0.293307086614173,1
"1. FC Köln",1754,"won",674,0.384264538198404,0
"1. FC Köln",1754,"lost",628,0.358038768529076,1
"FC Schalke 04",1832,"won",700,0.382096069868996,0
"FC Schalke 04",1832,"lost",669,0.365174672489083,1
"Eintracht Frankfurt",1856,"lost",693,0.373383620689655,0
"Eintracht Frankfurt",1856,"won",683,0.367995689655172,1
"Hamburger SV",1866,"won",746,0.39978563772776,0
"Hamburger SV",1866,"lost",625,0.334941050375134,1
"Borussia M'gladbach",1898,"won",763,0.40200210748156,0
"Borussia M'gladbach",1898,"lost",636,0.33508956796628,1
"VfB Stuttgart",1924,"won",782,0.406444906444906,0
"VfB Stuttgart",1924,"lost",673,0.3497920997921,1
"Borussia Dortmund",1924,"won",881,0.457900207900208,0
"Borussia Dortmund",1924,"lost",563,0.292619542619543,1
"SV Werder Bremen",1992,"won",818,0.410642570281124,0
"SV Werder Bremen",1992,"lost",676,0.339357429718876,1
"FC Bayern München",2000,"won",1206,0.603,0
"FC Bayern München",2000,"lost",363,0.1815,1
