freq,nrg_bal,unit,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,REN,PC,AL	29.62 	31.367 	32.07 	32.657 	32.448 	31.437 	31.867 	31.187 	35.152 	33.167 	31.856 	34.913 	36.953 	35.776 	36.572 	38.042 	45.015 	41.389 	44.076 
A,REN,PC,AT	22.553 	24.353 	26.276 	28.144 	28.788 	31.039 	31.205 	31.552 	32.734 	32.665 	33.55 	33.497 	33.37 	33.136 	33.784 	33.755 	36.545 	34.573 	33.758 
A,REN,PC,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24.873 	26.607 	25.358 	23.241 	35.972 	37.454 	39.835 	36.562 	: 
A,REN,PC,BE	1.916 	2.325 	2.658 	3.14 	3.611 	4.746 	6.004 	6.302 	7.086 	7.671 	8.038 	8.06 	8.744 	9.136 	9.472 	9.929 	13 	13.007 	13.759 
A,REN,PC,BG	9.231 	9.173 	9.415 	9.098 	10.345 	12.005 	13.927 	14.152 	15.837 	18.898 	18.05 	18.261 	18.76 	18.695 	20.581 	21.545 	23.319 	19.447 	19.095 
A,REN,PC,CY	3.071 	3.131 	3.263 	4.001 	5.131 	5.92 	6.161 	6.245 	7.111 	8.428 	9.144 	9.903 	9.833 	10.478 	13.873 	13.777 	16.879 	19.069 	19.429 
A,REN,PC,CZ	6.773 	7.113 	7.362 	7.895 	8.674 	9.977 	10.513 	10.945 	12.814 	13.927 	15.074 	15.07 	14.926 	14.799 	15.139 	16.239 	17.303 	17.671 	18.195 
A,REN,PC,DE	6.207 	7.167 	8.466 	10.039 	10.072 	10.851 	11.667 	12.47 	13.549 	13.757 	14.381 	14.901 	14.885 	15.472 	16.66 	17.266 	19.09 	19.395 	20.796 
A,REN,PC,DK	14.839 	15.955 	16.332 	17.747 	18.543 	19.948 	21.888 	23.389 	25.465 	27.173 	29.31 	30.469 	31.715 	34.387 	35.159 	37.02 	31.681 	41.009 	41.601 
A,REN,PC,EE	18.42 	17.478 	16.011 	17.139 	18.811 	23.009 	24.575 	25.515 	25.586 	25.356 	26.13 	28.987 	29.232 	29.538 	29.97 	31.73 	30.069 	37.442 	38.472 
A,REN,PC,EL	7.161 	7.277 	7.458 	8.249 	8.183 	8.731 	10.077 	11.153 	13.741 	15.326 	15.683 	15.69 	15.39 	17.3 	18.001 	19.633 	21.749 	22.017 	22.678 
A,REN,PC,ES	8.345 	8.444 	9.156 	9.667 	10.744 	12.958 	13.782 	13.176 	14.239 	15.081 	15.879 	16.221 	17.015 	17.118 	17.023 	17.852 	21.22 	20.736 	22.116 
A,REN,PC,EU27_2020	9.605 	10.182 	10.778 	11.749 	12.552 	13.85 	14.405 	14.547 	16.002 	16.659 	17.416 	17.82 	17.978 	18.411 	19.096 	19.887 	22.038 	21.893 	23.047 
A,REN,PC,FI	29.232 	28.814 	30.043 	29.561 	31.071 	31.045 	32.166 	32.532 	34.222 	36.63 	38.633 	39.23 	38.943 	40.857 	41.185 	42.807 	43.939 	42.854 	47.886 
A,REN,PC,FR	9.319 	9.272 	8.936 	9.426 	11.188 	12.215 	12.671 	10.813 	13.239 	13.88 	14.362 	14.803 	15.451 	15.847 	16.384 	17.174 	19.109 	19.204 	20.259 
A,REN,PC,HR	23.404 	23.691 	22.668 	22.161 	21.986 	23.596 	25.103 	25.389 	26.757 	28.04 	27.817 	28.969 	28.266 	27.28 	28.047 	28.466 	31.023 	31.285 	29.354 
A,REN,PC,HU	4.364 	6.931 	7.433 	8.575 	8.564 	11.673 	12.742 	13.972 	15.53 	16.205 	14.618 	14.495 	14.377 	13.556 	12.548 	12.634 	13.85 	14.134 	15.19 
A,REN,PC,IE	2.378 	2.822 	3.073 	3.497 	3.979 	5.243 	5.755 	6.605 	7.029 	7.521 	8.516 	9.083 	9.189 	10.52 	10.942 	11.979 	16.16 	12.376 	13.107 
A,REN,PC,IS	58.899 	60.27 	60.921 	71.925 	67.981 	70.238 	70.909 	72.298 	73.727 	73.787 	73.043 	71.949 	75.329 	74.104 	77.173 	78.612 	83.725 	80.185 	79.475 
A,REN,PC,IT	6.316 	7.549 	8.328 	9.807 	11.492 	12.775 	13.023 	12.881 	15.441 	16.741 	17.082 	17.525 	17.415 	18.267 	17.796 	18.181 	20.359 	18.883 	19.131 
A,REN,PC,LT	17.221 	16.768 	16.887 	16.482 	17.824 	19.798 	19.639 	19.943 	21.437 	22.689 	23.592 	25.748 	25.612 	26.038 	24.695 	25.474 	26.773 	28.166 	29.599 
A,REN,PC,LU	0.899 	1.402 	1.469 	2.725 	2.809 	2.929 	2.851 	2.855 	3.112 	3.494 	4.471 	4.987 	5.364 	6.194 	8.942 	7.046 	11.699 	11.73 	14.356 
