Year,State,value
1928,Alaska,
1928,Ala.,334.9621212
1928,Ark.,481.8083378
1928,Ariz.,200.7109005
1928,Calif.,69.18974551
1928,Colo.,206.9526627
1928,Conn.,634.9714648
1928,D.C.,535.5949896
1928,Del.,256.0085837
1928,Fla.,119.5743196
1928,Ga.,159.7140889
1928,Hawaii,
1928,Iowa,28.65306122
1928,Idaho,19.59910913
1928,Ill.,98.25105597
1928,Ind.,263.6830635
1928,Kan.,136.9189189
1928,Ky.,216.2446436
1928,La.,260.2955426
1928,Mass.,981.0528812
1928,Md.,1089.347826
1928,Maine,401.944793
1928,Mich.,547.5669882
1928,Minn.,79.16666667
1928,Mo.,198.6670369
1928,Miss.,0
1928,Mont.,139.9260628
1928,N.C.,1823.718365
1928,N.D.,55.78947368
1928,Neb.,78.95696572
1928,N.H.,272.1153846
1928,N.J.,797.1522177
1928,N.M,663.4615385
1928,Nev.,
1928,N.Y.,649.9741357
1928,Ohio,355.9549031
1928,Okla.,268.6860068
1928,Ore.,223.1303419
1928,Pa.,583.9318506
1928,R.I.,735.3244838
1928,S.C.,1138.470385
1928,S.D.,160.1459854
1928,Tenn.,315.3963415
1928,Texas,97.33920705
1928,Utah,16.76587302
1928,Va.,
1928,Vt.,334.7765363
1928,Wash.,344.8098001
1928,Wis.,124.58091
1928,W.Va.,195.9316038
1928,Wyo.,227.0454545
1929,Alaska,
1929,Ala.,111.913767
1929,Ark.,67.22462203
1929,Ariz.,54.88372093
1929,Calif.,72.75357078
1929,Colo.,74.20634921
1929,Conn.,614.8055207
1929,D.C.,94.20289855
1929,Del.,239.8305085
1929,Fla.,77.99307958
1929,Ga.,40.64760592
1929,Hawaii,
1929,Iowa,82.96747967
1929,Idaho,160.4026846
1929,Ill.,506.2187747
1929,Ind.,322.1016739
1929,Kan.,555.4365292
1929,Ky.,43.1696086
1929,La.,88.83029722
1929,Mass.,351.406952
1929,Md.,126.0333128
1929,Maine,719.1969887
1929,Mich.,376.4754953
1929,Minn.,492.340591
